customer_number,BAKERY,CASHPOINT,CONFECTIONARY,DAIRY,DELI,DISCOUNT_BAKERY,DRINKS,FROZEN,FRUIT_VEG,GROCERY_FOOD,GROCERY_HEALTH_PETS,LOTTERY,MEAT,NEWSPAPERS_MAGAZINES,PRACTICAL_ITEMS,PREPARED_MEALS,SEASONAL_GIFTING,SOFT_DRINKS,TOBACCO,WORLD_FOODS
14,7.40,0.00,25.53,236.09,0.00,1.25,189.80,20.57,14.48,88.35,25.40,0.00,88.46,6.40,0.00,17.29,7.61,6.03,0.00,33.66
45,9.45,0.00,126.32,181.58,0.00,0.00,0.00,4.51,30.21,100.31,13.76,0.00,59.39,7.62,0.00,37.18,0.00,30.17,0.00,4.37
52,1.04,0.00,3.29,5.19,26.24,0.00,0.00,1.78,56.27,1.08,13.63,0.00,9.96,1.99,0.00,0.00,22.10,3.17,0.00,54.90
61,14.08,0.00,69.29,61.15,3.81,0.00,13.00,21.96,83.74,66.74,19.63,0.00,53.52,1.60,1.52,6.88,9.12,10.93,0.00,1.19
63,12.12,0.00,75.66,43.60,11.67,0.00,0.00,3.88,22.01,14.39,7.47,4.00,2.49,0.45,0.00,0.00,0.00,1.19,0.00,5.79
67,35.01,0.00,176.48,219.90,14.20,0.00,322.39,17.03,395.85,176.67,134.48,0.00,137.40,21.14,27.70,13.24,11.15,45.22,0.00,24.79
68,6.42,0.00,38.33,49.36,0.00,0.00,0.00,0.00,66.01,25.81,7.65,0.00,8.26,5.44,0.76,21.80,0.00,1.49,0.00,0.00
71,68.07,0.00,463.39,63.34,5.68,4.44,175.24,32.49,203.45,203.98,106.46,0.00,119.83,6.15,1.95,0.49,3.34,58.98,0.00,3.87
77,27.14,0.00,19.59,25.02,0.00,0.00,14.88,40.54,49.95,33.90,7.87,0.00,16.11,0.42,3.40,7.97,0.00,4.01,0.00,0.00
81,10.26,0.00,89.03,171.83,0.00,0.00,161.51,16.22,100.21,153.75,15.61,0.00,6.91,5.44,0.00,8.76,0.00,15.52,0.00,1.09
83,7.29,0.00,107.47,75.92,8.97,0.00,7.90,21.65,28.65,62.92,28.57,0.00,32.95,6.92,0.00,30.05,13.85,4.03,0.00,1.63
85,10.12,0.00,38.06,104.47,0.00,0.00,110.09,17.23,87.25,40.05,0.00,4.00,2.29,0.35,0.00,13.17,0.30,4.29,0.00,5.95
108,6.57,0.00,5.77,14.76,6.76,0.00,274.09,25.47,58.47,92.46,44.16,0.00,8.96,1.40,0.00,0.00,0.00,0.00,0.00,2.08
110,12.14,0.00,11.69,24.82,8.83,0.00,15.63,9.59,23.15,10.69,10.97,2.00,14.40,2.40,0.00,23.50,1.15,0.88,0.00,2.15
111,27.03,36.84,46.59,56.06,0.00,0.00,27.58,30.58,66.06,74.62,4.46,0.00,25.16,1.40,0.00,12.41,2.17,0.00,0.00,0.00
117,13.12,0.00,29.50,172.67,1.89,0.00,8.07,4.13,92.30,31.52,5.49,1.50,7.84,54.86,0.00,9.72,0.00,1.70,0.00,1.19
119,11.41,0.00,63.98,388.36,6.59,0.00,3.06,35.30,191.30,31.28,74.47,0.00,35.23,9.62,2.98,8.37,0.84,5.95,0.00,0.00
123,4.59,0.00,74.23,69.66,58.64,1.25,0.00,4.78,84.72,161.71,21.92,0.00,2.19,0.00,0.00,6.13,11.84,5.11,0.00,14.46
124,10.13,30.00,118.55,36.74,8.11,0.00,0.00,21.11,16.37,92.99,25.82,0.00,71.40,4.85,0.00,1.75,0.00,1.47,0.00,0.87
133,37.40,0.00,68.72,85.50,42.57,4.54,47.48,13.30,24.79,37.20,11.22,0.00,46.27,22.72,18.67,41.51,2.84,2.55,0.00,0.00
136,18.82,0.00,133.30,104.19,8.44,3.70,21.89,7.98,167.76,65.62,38.58,0.00,30.04,13.29,0.00,31.13,0.00,20.85,0.00,1.19
140,8.17,0.00,55.62,92.12,0.00,0.00,0.00,21.20,61.10,29.42,22.20,0.00,3.50,10.69,0.00,4.95,7.62,3.53,0.00,3.66
144,5.17,0.00,58.21,41.67,3.80,0.00,0.00,0.00,35.32,149.32,5.95,0.00,2.07,3.13,0.00,6.65,1.27,0.00,0.00,22.85
149,13.13,0.00,45.84,22.67,0.00,0.00,0.00,9.38,12.22,23.30,19.67,0.00,30.95,1.00,0.00,11.12,1.69,0.00,0.00,1.19
153,9.22,0.00,36.23,70.00,4.50,0.00,72.69,11.28,117.33,149.34,12.24,0.00,43.58,0.00,0.00,41.36,1.49,13.31,0.00,2.95
156,45.83,0.00,31.43,100.26,8.97,0.00,77.10,62.52,98.86,138.19,43.12,0.00,15.45,24.86,17.57,4.88,13.59,9.05,0.00,0.45
157,23.01,0.00,208.63,84.60,140.10,34.59,454.85,14.82,236.25,344.85,53.00,0.00,16.94,2.95,9.92,148.74,6.81,5.90,0.00,0.00
166,11.28,20.00,30.26,31.99,6.65,0.00,6.37,10.75,15.24,35.17,42.12,0.00,43.73,13.36,0.00,16.89,0.00,12.88,0.00,7.62
170,14.19,10.00,57.13,158.58,0.00,0.00,0.00,15.90,81.51,173.64,41.88,4.00,90.72,6.75,0.00,34.94,0.00,7.67,0.00,2.67
176,4.63,0.00,10.18,19.28,0.00,0.00,39.96,5.83,29.65,23.34,1.78,4.00,1.99,3.70,0.00,1.99,1.18,0.00,0.00,1.49
182,14.97,0.00,59.30,44.74,2.37,0.00,10.20,0.00,13.56,103.45,3.57,0.00,0.00,11.70,0.00,1.65,0.00,1.01,0.00,4.53
186,6.39,0.00,72.77,118.89,0.00,0.00,3.01,14.12,1.61,72.50,17.62,0.00,2.69,10.20,0.00,38.40,0.00,10.60,0.00,12.74
187,28.13,0.00,39.91,135.16,0.00,0.00,11.84,46.00,57.81,66.30,93.83,0.00,76.43,2.54,0.00,56.55,4.54,29.11,0.00,0.99
191,15.37,0.00,96.25,64.72,0.00,0.00,66.44,54.12,28.39,31.59,13.17,0.00,24.55,0.66,0.00,44.39,0.00,12.82,0.00,0.00
198,20.45,0.00,139.99,77.34,0.00,0.00,8.92,5.10,96.81,79.85,41.30,0.00,0.00,1.38,0.84,13.91,0.00,21.61,0.00,0.00
201,39.91,0.00,99.53,143.44,0.00,0.00,11.48,33.79,52.07,92.04,27.58,0.00,13.95,2.46,5.52,6.42,6.26,5.88,0.00,4.76
202,7.25,0.00,24.93,47.46,0.00,0.00,102.32,16.30,154.19,14.26,1.61,0.00,0.00,2.80,0.00,15.07,0.00,10.01,0.00,0.00
206,14.43,0.00,62.76,50.37,81.22,0.00,6.03,34.15,227.20,86.34,28.86,0.00,39.15,1.28,0.00,37.91,16.50,82.87,0.00,0.00
212,8.80,0.00,50.51,42.78,29.60,18.56,9.77,6.12,45.28,23.95,17.90,0.00,0.00,18.17,0.00,5.18,3.98,0.81,0.00,0.00
215,3.56,0.00,48.56,44.97,5.76,0.00,0.00,40.44,57.70,104.83,56.53,0.00,16.97,0.42,4.26,0.00,1.18,22.53,0.00,9.80
218,47.51,0.00,70.55,66.27,9.95,0.00,0.00,15.57,230.97,148.56,44.53,0.00,6.55,15.50,4.83,6.84,10.45,2.24,0.00,5.29
221,6.71,5.00,33.47,34.13,1.46,0.00,22.09,12.86,112.09,90.51,34.67,0.00,18.44,1.40,0.00,0.00,0.00,6.00,0.00,1.87
230,3.14,0.00,22.32,32.65,0.00,0.00,0.00,0.00,9.29,13.65,30.73,0.00,29.61,1.99,0.00,12.86,0.00,8.52,0.00,0.89
231,25.67,20.00,230.58,114.29,11.99,0.00,0.00,91.89,41.78,158.57,50.91,0.00,24.90,37.38,0.00,26.17,4.06,17.42,0.00,0.00
232,29.57,0.00,218.47,133.39,1.82,0.00,0.00,62.37,115.03,132.45,105.15,0.00,129.28,1.00,0.00,21.17,2.11,29.33,0.00,8.32
